Marca,Potencia,Tipo de vehículo,Año,Km,Tipo Gasolina,Ubicación,Precio
MERCEDES-BENZ Clase A,200,,2023,32231,Híbrido,Madrid,35400
MERCEDES-BENZ Clase A,250,,2023,18150,Híbrido Enchufable,Barcelona,40990
MERCEDES-BENZ Clase A,180,,2023,8523,Diésel,Murcia,33900
MERCEDES-BENZ Clase A,250,Sedán,2021,31120,Híbrido Enchufable,Vizcaya,36490
MERCEDES-BENZ Clase A,250,,2022,17290,Híbrido,Córdoba,33900
MERCEDES-BENZ Clase A,200,,2020,130000,Diésel,La Coruña,27900
MERCEDES-BENZ Clase A,180,,2023,5256,Diésel,Girona,34500
MERCEDES-BENZ Clase A,200,,2024,6316,Diésel,Badajoz,35900
MERCEDES-BENZ Clase A,250,,2022,13000,Híbrido Enchufable,Barcelona,46990
MERCEDES-BENZ Clase A,200,,2022,27934,Diésel,Zaragoza,35900
MERCEDES-BENZ Clase A,250,,2019,96448,Gasolina,Barcelona,28890
MERCEDES-BENZ Clase A,180,Sedán,2023,8500,Gasolina,Málaga,33900
MERCEDES-BENZ Clase A,200,,2024,5000,Diésel,Málaga,45900
MERCEDES-BENZ Clase A,200,,2020,120000,Diésel,Sevilla,24950
MERCEDES-BENZ Clase A,180,,2014,199500,Diésel,La Coruña,13500
MERCEDES-BENZ Clase A,180,,2015,142717,Diésel,Valencia,16990
MERCEDES-BENZ Clase A,180,,2013,124234,Gasolina,Madrid,14490
MERCEDES-BENZ Clase A,180,,2023,7000,Diésel,Barcelona,33950
MERCEDES-BENZ Clase A,180,,2019,68367,Diésel,La Coruña,26500
MERCEDES-BENZ Clase A,180,Compacto,2024,3700,Diésel,Alicante,37800
MERCEDES-BENZ Clase A,200,Compacto,2023,22249,Diésel,Murcia,34900
MERCEDES-BENZ Clase A,180,,2023,9200,Híbrido,Tarragona,40400
MERCEDES-BENZ Clase A,200,,2018,68924,Gasolina,Madrid,28500
MERCEDES-BENZ Clase A,180,Compacto,2024,3700,Diésel,Toledo,37800
MERCEDES-BENZ Clase A,250,Compacto,2024,0,Híbrido,Córdoba,45900
MERCEDES-BENZ Clase A,200,Compacto,2024,11,Diésel,Córdoba,42400
MERCEDES-BENZ Clase A,180,Compacto,2023,11178,Diésel,Murcia,32900
MERCEDES-BENZ Clase A,180,,2019,58480,Gasolina,Valladolid,27900
